class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,Kimono,26,34,64,2.927400468384074,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,34,64,51.46370023419203,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,38,8,55.81817090013801,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,38,8,0.0819672131147541,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,8,50.040983606557376,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.139,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,38,16,57.34290555762649,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,38,16,2.3947283831565414,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,16,51.197364191578274,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.137,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,38,32,58.2816598308719,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.135,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,38,32,0.09107468123861566,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,32,50.045537340619305,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.135,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,38,64,54.04098208341207,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
