class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassE,FourPeople,58,38,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.320,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,38,32,38.8,64.2,27.8,32.3,74.4,29,10,1,18,1828,11174,29,30,21.0,0.274,0,27,0,5294,5323,16497,7151,4590.0,2561.0,11907.0
ClassE,FourPeople,0,38,64,21.5,66.6,12.8,16.8,87.2,22,3,1,18,326,10978,16,20,14.2,0.201,0,15,0,2206,2222,13200,2548,1696.0,852.0,11504.0
ClassE,FourPeople,41,38,64,74.1,62.9,90.0,90.5,63.2,4,3,1,0,1264,228,3,5,37.7,0.311,0,3,0,2169,2172,2400,3436,2161.0,1275.0,239.0
ClassE,FourPeople,56,38,64,56.8,44.2,79.5,93.3,51.9,2,2,0,0,257,20,1,1,6.4,0.318,0,1,0,276,277,297,534,236.0,298.0,61.0
ClassE,FourPeople,58,38,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.310,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,38,64,39.7,65.9,28.4,32.0,74.0,29,9,2,18,1848,11226,20,26,20.6,0.265,0,19,0,5251,5271,16497,7119,4693.0,2426.0,11804.0
ClassE,FourPeople,0,42,32,20.9,71.0,12.2,15.2,88.0,22,3,1,18,273,11200,7,14,13.0,0.191,0,7,0,1993,2000,13200,2273,1614.0,659.0,11586.0
ClassE,FourPeople,41,42,32,69.4,57.6,87.1,88.8,58.7,4,3,1,0,1499,270,3,12,26.2,0.301,0,3,0,2127,2130,2400,3629,2091.0,1538.0,309.0
ClassE,FourPeople,56,42,32,53.4,45.2,65.3,79.1,54.8,2,1,1,0,194,62,1,1,13.5,0.303,0,1,0,234,235,297,429,194.0,235.0,103.0
ClassE,FourPeople,58,42,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.309,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,42,32,38.4,64.9,27.3,30.1,71.6,29,8,3,18,1966,11532,11,27,18.1,0.258,0,11,0,4954,4965,16497,6931,4499.0,2432.0,11998.0
ClassE,FourPeople,0,42,64,20.4,72.4,11.9,14.8,90.0,22,2,2,18,217,11251,12,18,13.0,0.195,0,12,0,1937,1949,13200,2166,1568.0,598.0,11632.0
ClassE,FourPeople,41,42,64,68.2,57.8,83.3,84.2,58.4,4,2,2,0,1441,378,1,15,24.2,0.307,0,1,0,2021,2022,2400,3463,2000.0,1463.0,400.0
ClassE,FourPeople,56,42,64,50.5,42.3,62.6,82.5,55.7,2,2,0,0,195,52,4,3,15.5,0.313,0,3,0,241,245,297,440,186.0,254.0,111.0
ClassE,FourPeople,58,42,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.324,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,42,64,37.6,65.3,26.4,29.2,72.2,29,7,4,18,1854,11680,17,36,17.9,0.264,0,16,0,4800,4817,16497,6671,4355.0,2316.0,12142.0
ClassE,FourPeople,0,46,32,19.0,67.0,11.1,14.7,88.5,22,2,2,18,252,11266,12,21,12.7,0.198,0,12,0,1922,1934,13200,2186,1464.0,722.0,11736.0
ClassE,FourPeople,41,46,32,48.3,40.8,59.2,71.2,49.1,4,2,1,1,1774,691,3,9,-2.8,0.275,0,3,0,1706,1709,2400,3483,1422.0,2061.0,978.0
ClassE,FourPeople,56,46,32,33.1,37.1,30.0,52.5,65.0,2,0,2,0,84,141,2,3,23.6,0.353,0,2,0,154,156,297,240,89.0,151.0,208.0
ClassE,FourPeople,58,46,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.249,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,46,32,31.1,54.9,21.7,26.7,67.6,29,5,5,19,2110,12098,17,33,13.8,0.241,0,17,0,4382,4399,16497,6509,3575.0,2934.0,12922.0
ClassE,FourPeople,0,46,64,18.9,64.7,11.1,14.9,87.0,22,3,1,18,293,11231,7,20,12.6,0.208,0,7,0,1962,1969,13200,2262,1463.0,799.0,11737.0
ClassE,FourPeople,41,46,64,47.8,39.6,60.2,73.9,48.6,4,2,1,1,1875,627,8,16,-4.6,0.259,0,8,0,1765,1773,2400,3648,1444.0,2204.0,956.0
ClassE,FourPeople,56,46,64,34.8,36.0,33.7,53.9,57.6,2,0,2,0,118,137,2,3,13.5,0.372,0,2,0,158,160,297,278,100.0,178.0,197.0
ClassE,FourPeople,58,46,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.262,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,FourPeople,all,46,64,31.0,53.1,21.9,27.3,66.3,29,6,4,19,2286,11990,17,38,13.4,0.241,0,17,0,4490,4507,16497,6793,3610.0,3183.0,12887.0
ClassE,Johnny,0,18,32,94.7,90.0,100.0,100.0,90.0,9,9,0,0,600,0,0,0,88.9,0.235,0,0,0,5400,5400,5400,6000,5400.0,600.0,0.0
ClassE,Johnny,27,18,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.140,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,18,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.209,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,18,32,95.7,91.7,100.0,100.0,91.7,11,11,0,0,600,0,0,0,90.9,0.224,0,0,0,6600,6600,6600,7200,6600.0,600.0,0.0
ClassE,Johnny,0,18,64,94.7,90.0,100.0,100.0,90.0,9,9,0,0,600,0,0,0,88.9,0.235,0,0,0,5400,5400,5400,6000,5400.0,600.0,0.0
ClassE,Johnny,27,18,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.139,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,18,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.207,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,18,64,95.7,91.7,100.0,100.0,91.7,11,11,0,0,600,0,0,0,90.9,0.224,0,0,0,6600,6600,6600,7200,6600.0,600.0,0.0
ClassE,Johnny,0,22,32,94.7,90.0,100.0,100.0,90.0,9,9,0,0,600,0,0,0,88.9,0.239,0,0,0,5400,5400,5400,6000,5400.0,600.0,0.0
ClassE,Johnny,27,22,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.139,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,22,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.211,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,22,32,95.7,91.7,100.0,100.0,91.7,11,11,0,0,600,0,0,0,90.9,0.227,0,0,0,6600,6600,6600,7200,6600.0,600.0,0.0
ClassE,Johnny,0,22,64,94.7,90.0,100.0,100.0,90.0,9,9,0,0,600,0,0,0,88.9,0.241,0,0,0,5400,5400,5400,6000,5400.0,600.0,0.0
ClassE,Johnny,27,22,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.139,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,22,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.208,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,22,64,95.7,91.7,100.0,100.0,91.7,11,11,0,0,600,0,0,0,90.9,0.229,0,0,0,6600,6600,6600,7200,6600.0,600.0,0.0
ClassE,Johnny,0,26,32,91.1,88.7,93.6,94.4,89.5,9,8,1,0,600,304,2,3,83.2,0.223,0,2,0,5094,5096,5400,5696,5052.0,644.0,348.0
ClassE,Johnny,27,26,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.138,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,26,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.217,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,26,32,92.6,90.7,94.7,95.4,91.3,11,10,1,0,600,304,2,3,86.3,0.214,0,2,0,6294,6296,6600,6896,6252.0,644.0,348.0
ClassE,Johnny,0,26,64,84.4,84.8,84.0,88.0,88.8,9,8,0,1,600,650,3,4,76.8,0.221,0,3,0,4747,4750,5400,5350,4535.0,815.0,865.0
ClassE,Johnny,27,26,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.137,0,0,0,600,600,600,600,600.0,0.0,0.0
