seq_name,max_age,min_hits,iou_thres,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassC_PartyScene_0,1,3,0.3,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.35,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.4,81.8,84.3,79.5,93.6,99.2,3,2,1,0,6,49,6,6,92.0,0.132,1,5,0
ClassC_PartyScene_0,1,3,0.45,81.9,84.5,79.5,93.3,99.2,3,2,1,0,6,51,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.5,81.9,84.5,79.5,93.3,99.2,3,2,1,0,6,51,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.55,82.1,84.8,79.5,93.2,99.3,3,2,1,0,5,52,4,4,92.0,0.132,1,3,0
ClassC_PartyScene_0,1,3,0.6,82.2,85.5,79.1,91.9,99.3,3,2,1,0,5,62,6,7,90.4,0.128,1,5,0
ClassC_PartyScene_0,1,3,0.65,81.9,85.7,78.5,90.9,99.3,3,2,1,0,5,69,7,8,89.4,0.126,0,7,0
ClassC_PartyScene_0,1,3,0.7,79.9,84.5,75.9,89.1,99.3,3,1,2,0,5,83,10,11,87.1,0.122,0,10,0
ClassC_PartyScene_0,1,3,0.75,80.7,85.7,76.2,88.3,99.3,3,1,2,0,5,89,8,10,86.6,0.122,0,8,0
ClassC_PartyScene_0,1,3,0.8,80.4,86.0,75.6,87.3,99.3,3,1,2,0,5,97,8,10,85.6,0.121,0,8,0
ClassC_PartyScene_0,1,3,0.85,79.1,86.1,73.1,84.3,99.2,3,1,2,0,5,120,11,14,82.2,0.118,0,11,0
ClassC_PartyScene_0,1,3,0.9,78.5,89.0,70.2,78.5,99.5,3,1,2,0,3,164,15,15,76.1,0.114,0,15,0
ClassC_PartyScene_0,1,4,0.1,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.15,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.2,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.25,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.3,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.35,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.4,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.45,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.5,82.1,85.1,79.3,92.8,99.6,3,2,1,0,3,55,4,4,91.9,0.132,1,3,0
ClassC_PartyScene_0,1,4,0.55,82.1,85.2,79.3,92.7,99.6,3,2,1,0,3,56,4,4,91.7,0.131,1,3,0
ClassC_PartyScene_0,1,4,0.6,82.3,86.2,78.7,90.9,99.6,3,1,2,0,3,69,5,6,89.9,0.128,1,4,0
ClassC_PartyScene_0,1,4,0.65,82.1,86.6,78.1,89.8,99.6,3,1,2,0,3,78,6,7,88.6,0.125,0,6,0
ClassC_PartyScene_0,1,4,0.7,80.2,85.7,75.3,87.5,99.6,3,1,2,0,3,95,9,10,86.0,0.120,0,9,0
ClassC_PartyScene_0,1,4,0.75,80.9,86.8,75.7,86.9,99.5,3,1,2,0,3,100,7,9,85.6,0.121,0,7,0
ClassC_PartyScene_0,1,4,0.8,80.9,87.4,75.3,85.8,99.5,3,1,2,0,3,108,8,10,84.4,0.120,0,8,0
ClassC_PartyScene_0,1,4,0.85,79.3,87.6,72.4,82.3,99.5,3,1,2,0,3,135,9,11,80.7,0.117,0,9,0
ClassC_PartyScene_0,1,4,0.9,79.1,91.3,69.8,76.4,99.8,3,1,2,0,1,180,9,9,75.1,0.112,0,9,0
ClassC_PartyScene_0,1,5,0.1,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.15,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.2,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.25,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.3,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.35,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.4,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.45,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.5,82.2,85.5,79.1,92.3,99.7,3,2,1,0,2,59,4,4,91.5,0.132,1,3,0
ClassC_PartyScene_0,1,5,0.55,82.3,85.7,79.1,92.1,99.7,3,2,1,0,2,60,4,4,91.3,0.131,1,3,0
ClassC_PartyScene_0,1,5,0.6,82.3,86.6,78.3,90.2,99.7,3,1,2,0,2,75,5,6,89.2,0.128,1,4,0
ClassC_PartyScene_0,1,5,0.65,82.4,87.5,77.8,88.7,99.7,3,1,2,0,2,86,4,5,87.9,0.125,0,4,0
ClassC_PartyScene_0,1,5,0.7,80.4,86.8,74.9,86.1,99.7,3,1,2,0,2,106,7,8,84.9,0.119,0,7,0
ClassC_PartyScene_0,1,5,0.75,81.0,87.6,75.3,85.7,99.7,3,1,2,0,2,109,8,8,84.4,0.120,0,7,0
ClassC_PartyScene_0,1,5,0.8,81.2,88.5,75.1,84.5,99.7,3,1,2,0,2,118,8,8,83.2,0.119,0,7,0
ClassC_PartyScene_0,1,5,0.85,79.3,88.5,71.8,80.8,99.7,3,1,2,0,2,146,8,8,79.5,0.116,0,8,0
ClassC_PartyScene_0,1,5,0.9,79.3,92.3,69.4,75.2,100.0,3,1,2,0,0,189,7,6,74.3,0.111,0,7,0
ClassC_PartyScene_0,1,6,0.1,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.15,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.2,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.25,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.3,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.35,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.4,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.45,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.5,82.4,86.0,79.0,91.7,99.9,3,2,1,0,1,63,4,4,91.1,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.55,82.4,86.1,79.0,91.6,99.9,3,2,1,0,1,64,4,4,90.9,0.131,1,3,0
ClassC_PartyScene_0,1,6,0.6,82.4,87.2,78.1,89.4,99.9,3,1,2,0,1,81,5,6,88.6,0.127,1,4,0
ClassC_PartyScene_0,1,6,0.65,82.6,88.2,77.7,87.9,99.9,3,1,2,0,1,92,4,5,87.3,0.125,0,4,0
ClassC_PartyScene_0,1,6,0.7,80.8,87.8,74.8,85.0,99.8,3,1,2,0,1,114,7,8,84.0,0.118,0,7,0
ClassC_PartyScene_0,1,6,0.75,81.4,88.7,75.2,84.6,99.8,3,1,2,0,1,117,7,7,83.6,0.119,0,6,0
ClassC_PartyScene_0,1,6,0.8,81.6,89.6,74.9,83.5,99.8,3,1,2,0,1,126,8,8,82.3,0.118,0,7,0
ClassC_PartyScene_0,1,6,0.85,79.2,89.2,71.3,79.8,99.8,3,1,2,0,1,154,8,7,78.6,0.115,0,7,0
ClassC_PartyScene_0,1,6,0.9,79.1,92.6,69.0,74.5,100.0,3,1,2,0,0,194,9,6,73.4,0.111,0,9,0
ClassC_PartyScene_0,1,7,0.1,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.15,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.2,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.25,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.3,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.35,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.4,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
ClassC_PartyScene_0,1,7,0.45,82.5,86.5,78.9,91.2,100.0,3,2,1,0,0,67,3,3,90.8,0.131,1,2,0
