class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassE,KristenAndSara,0,26,16,29.31753630579807,44.2,75.0,31.3,31.3,75.0,15,4,0,11,814,5364,0,1,20.9,0.204,0,0,0,2443,2443,7807,3257,2443.0,814.0,5364.0
ClassE,KristenAndSara,63,26,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,26,16,29.058577078881477,13.1,32.9,8.2,24.0,96.6,1,0,1,0,5,456,4,4,22.5,0.306,0,4,0,140,144,600,149,49.0,100.0,551.0
ClassE,KristenAndSara,all,26,16,19.458704461559847,38.3,62.2,27.7,28.7,64.6,17,4,1,12,1419,6420,4,5,12.9,0.210,0,4,0,2583,2587,9007,4006,2492.0,1514.0,6515.0
ClassE,KristenAndSara,0,26,32,29.476862518970513,44.2,75.0,31.3,31.5,75.5,15,4,0,11,800,5345,1,2,21.3,0.207,0,1,0,2461,2462,7807,3262,2445.0,817.0,5362.0
ClassE,KristenAndSara,63,26,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,26,32,26.395906174935124,15.7,46.0,9.5,19.8,96.0,1,0,0,1,5,481,5,5,18.2,0.304,0,5,0,114,119,600,124,57.0,67.0,543.0
ClassE,KristenAndSara,all,26,32,18.62425623130188,38.5,62.8,27.8,28.7,64.8,17,4,0,13,1405,6426,6,7,13.0,0.212,0,6,0,2575,2581,9007,3986,2502.0,1484.0,6505.0
ClassE,KristenAndSara,0,26,64,30.261200762429603,44.6,76.5,31.5,32.0,77.7,15,4,0,11,715,5312,1,6,22.8,0.210,0,1,0,2494,2495,7807,3210,2456.0,754.0,5351.0
ClassE,KristenAndSara,63,26,64,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,26,64,32.324648926290514,14.8,36.1,9.3,25.0,96.8,1,0,1,0,5,450,5,7,23.3,0.312,0,5,0,145,150,600,155,56.0,99.0,544.0
ClassE,KristenAndSara,all,26,64,20.86195223821423,38.7,63.4,27.9,29.4,66.7,17,4,1,12,1320,6362,6,13,14.6,0.216,0,6,0,2639,2645,9007,3965,2512.0,1453.0,6495.0
ClassE,KristenAndSara,0,30,8,31.859924793074885,45.4,75.9,32.4,33.3,77.9,15,4,1,10,738,5211,2,4,23.8,0.207,0,2,0,2594,2596,7807,3334,2529.0,805.0,5278.0
ClassE,KristenAndSara,63,30,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,30,8,69.16666666666667,36.5,46.3,30.2,65.2,100.0,1,0,1,0,0,209,4,5,64.5,0.342,0,4,0,387,391,600,391,181.0,210.0,419.0
ClassE,KristenAndSara,all,30,8,33.67553252269207,40.7,62.7,30.1,33.2,69.1,17,4,2,11,1338,6020,6,9,18.2,0.225,0,6,0,2981,2987,9007,4325,2710.0,1615.0,6297.0
ClassE,KristenAndSara,0,30,16,29.85939645667158,43.8,73.4,31.2,31.3,73.6,15,4,0,11,878,5362,1,1,20.1,0.191,0,1,0,2444,2445,7807,3323,2439.0,884.0,5368.0
ClassE,KristenAndSara,63,30,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,30,16,84.0,62.9,70.3,56.8,80.8,100.0,1,1,0,0,0,115,2,3,80.5,0.352,0,2,0,483,485,600,485,341.0,144.0,259.0
ClassE,KristenAndSara,all,30,16,37.95313215222386,41.4,63.1,30.9,32.5,66.5,17,5,0,12,1478,6077,3,4,16.1,0.218,0,3,0,2927,2930,9007,4408,2780.0,1628.0,6227.0
ClassE,KristenAndSara,0,30,32,29.92911141448762,43.8,72.6,31.3,31.7,73.5,15,4,0,11,891,5330,2,2,20.3,0.189,0,2,0,2475,2477,7807,3368,2445.0,923.0,5362.0
ClassE,KristenAndSara,63,30,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,30,32,74.33333333333333,22.7,28.6,18.8,65.8,100.0,1,0,1,0,0,205,6,7,64.8,0.361,0,6,0,389,395,600,395,113.0,282.0,487.0
ClassE,KristenAndSara,all,30,32,34.75415086744806,38.3,58.6,28.4,31.9,65.8,17,4,1,12,1491,6135,8,9,15.2,0.212,0,8,0,2864,2872,9007,4363,2558.0,1805.0,6449.0
ClassE,KristenAndSara,0,30,64,30.12965515609991,43.8,73.1,31.2,31.5,73.7,15,4,0,11,879,5349,1,1,20.2,0.190,0,1,0,2457,2458,7807,3337,2438.0,899.0,5369.0
ClassE,KristenAndSara,63,30,64,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,30,64,64.65809768637533,22.5,31.6,17.5,55.3,100.0,1,0,1,0,0,268,5,8,54.5,0.345,0,5,0,327,332,600,332,105.0,227.0,495.0
ClassE,KristenAndSara,all,30,64,31.59591919124302,38.3,59.6,28.2,31.0,65.4,17,4,1,12,1479,6217,6,9,14.5,0.208,0,6,0,2784,2790,9007,4269,2543.0,1726.0,6464.0
ClassE,KristenAndSara,0,34,8,29.751610283189976,43.5,74.1,30.8,30.8,74.1,15,4,0,11,841,5406,0,0,20.0,0.200,0,0,0,2401,2401,7807,3242,2401.0,841.0,5406.0
ClassE,KristenAndSara,63,34,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,34,8,99.83333333333333,99.6,100.0,99.2,99.2,100.0,1,1,0,0,0,5,0,1,99.2,0.345,0,0,0,595,595,600,595,595.0,0.0,5.0
ClassE,KristenAndSara,all,34,8,43.19498120550777,44.6,67.5,33.3,33.3,67.5,17,5,0,12,1441,6011,0,1,17.3,0.229,0,0,0,2996,2996,9007,4437,2996.0,1441.0,6011.0
ClassE,KristenAndSara,0,34,16,29.062604126051305,43.6,73.6,31.0,31.0,73.6,15,4,0,11,868,5389,0,0,19.9,0.204,0,0,0,2418,2418,7807,3286,2418.0,868.0,5389.0
ClassE,KristenAndSara,63,34,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,34,16,90.66666666666666,59.9,63.6,56.7,89.2,100.0,1,1,0,0,0,65,1,2,89.0,0.334,0,1,0,534,535,600,535,340.0,195.0,260.0
ClassE,KristenAndSara,all,34,16,39.909759050297595,41.1,62.4,30.6,32.8,66.8,17,5,0,12,1468,6054,1,2,16.5,0.228,0,1,0,2952,2953,9007,4421,2758.0,1663.0,6249.0
ClassE,KristenAndSara,0,34,32,29.803090912313174,44.2,76.1,31.1,31.1,76.1,15,4,0,11,762,5377,0,3,21.4,0.201,0,0,0,2430,2430,7807,3192,2430.0,762.0,5377.0
ClassE,KristenAndSara,63,34,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,34,32,91.64774263677356,59.5,61.9,57.3,90.8,98.0,1,1,0,0,11,55,1,1,88.8,0.340,0,1,0,544,545,600,556,344.0,212.0,256.0
ClassE,KristenAndSara,all,34,32,40.483611747554924,41.5,63.8,30.8,33.0,68.4,17,5,0,12,1373,6032,1,4,17.8,0.226,0,1,0,2974,2975,9007,4348,2774.0,1574.0,6233.0
ClassE,KristenAndSara,0,34,64,28.961857700193356,44.0,76.6,30.9,30.9,76.6,15,4,0,11,738,5395,0,0,21.4,0.202,0,0,0,2412,2412,7807,3150,2412.0,738.0,5395.0
ClassE,KristenAndSara,63,34,64,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,34,64,99.33333333333333,57.9,58.4,57.3,98.2,100.0,1,1,0,0,0,11,1,1,98.0,0.345,0,1,0,588,589,600,589,344.0,245.0,256.0
ClassE,KristenAndSara,all,34,64,42.76506279707756,41.3,63.5,30.6,33.3,69.2,17,5,0,12,1338,6006,1,1,18.5,0.230,0,1,0,3000,3001,9007,4339,2756.0,1583.0,6251.0
ClassE,KristenAndSara,0,38,8,28.096097557610953,40.9,75.2,28.1,30.1,80.5,15,4,0,11,568,5460,3,5,22.7,0.197,0,3,0,2344,2347,7807,2915,2193.0,722.0,5614.0
ClassE,KristenAndSara,63,38,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,38,8,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.348,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,KristenAndSara,all,38,8,42.69869918587032,42.6,67.9,31.0,32.7,71.6,17,5,0,12,1168,6060,3,5,19.7,0.228,0,3,0,2944,2947,9007,4115,2793.0,1322.0,6214.0
ClassE,KristenAndSara,0,38,16,28.359379834817666,41.3,75.3,28.5,30.5,80.6,15,4,0,11,572,5427,2,3,23.1,0.197,0,2,0,2378,2380,7807,2952,2223.0,729.0,5584.0
ClassE,KristenAndSara,63,38,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,600,600,0,0,-100.0,nan,0,0,0,0,0,600,600,0.0,600.0,600.0
ClassE,KristenAndSara,67,38,16,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.354,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,KristenAndSara,all,38,16,42.78645994493922,42.9,68.0,31.3,33.1,71.8,17,5,0,12,1172,6027,2,3,20.1,0.229,0,2,0,2978,2980,9007,4152,2823.0,1329.0,6184.0
ClassE,KristenAndSara,0,38,32,28.669218032767603,44.4,80.7,30.7,30.7,80.8,15,4,0,11,570,5411,1,3,23.4,0.198,0,1,0,2395,2396,7807,2966,2393.0,573.0,5414.0
ClassE,KristenAndSara,63,38,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,595,600,0,0,-99.2,nan,0,0,0,0,0,600,595,0.0,595.0,600.0
ClassE,KristenAndSara,67,38,32,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.353,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,KristenAndSara,all,38,32,42.889739344255865,45.5,71.9,33.2,33.3,72.0,17,5,0,12,1165,6011,1,3,20.3,0.229,0,1,0,2995,2996,9007,4161,2993.0,1168.0,6014.0
ClassE,KristenAndSara,0,38,64,28.760637925050453,41.6,76.2,28.6,30.5,81.3,15,4,0,11,549,5426,3,6,23.4,0.197,0,3,0,2378,2381,7807,2930,2232.0,698.0,5575.0
ClassE,KristenAndSara,63,38,64,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,603,600,0,0,-100.5,nan,0,0,0,0,0,600,603,0.0,603.0,600.0
ClassE,KristenAndSara,67,38,64,100.0,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.351,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,KristenAndSara,all,38,64,42.92021353480425,43.1,68.5,31.4,33.1,72.1,17,5,0,12,1152,6026,3,6,20.3,0.228,0,3,0,2978,2981,9007,4133,2832.0,1301.0,6175.0
ClassE,KristenAndSara,0,42,8,26.73405432240293,40.5,73.1,28.0,29.9,78.1,15,4,0,11,656,5472,2,15,21.5,0.232,0,2,0,2333,2335,7807,2991,2186.0,805.0,5621.0
ClassE,KristenAndSara,63,42,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,410,600,0,0,-68.3,nan,0,0,0,0,0,600,410,0.0,410.0,600.0
ClassE,KristenAndSara,67,42,8,99.91780907075713,97.7,95.5,100.0,100.0,95.5,1,1,0,0,28,0,0,0,95.3,0.344,0,0,0,600,600,600,628,600.0,28.0,0.0
ClassE,KristenAndSara,all,42,8,42.217289561374784,42.7,69.1,30.9,32.6,72.8,17,5,0,12,1094,6072,2,15,20.4,0.255,0,2,0,2933,2935,9007,4029,2786.0,1243.0,6221.0
ClassE,KristenAndSara,0,42,16,25.555908610938832,37.8,70.2,25.9,28.4,76.9,15,3,1,11,664,5593,4,16,19.8,0.222,0,4,0,2210,2214,7807,2878,2021.0,857.0,5786.0
ClassE,KristenAndSara,63,42,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,308,600,0,0,-51.3,nan,0,0,0,0,0,600,308,0.0,308.0,600.0
ClassE,KristenAndSara,67,42,16,99.98304089336814,97.8,95.7,100.0,100.0,95.7,1,1,0,0,27,0,0,0,95.5,0.350,0,0,0,600,600,600,627,600.0,27.0,0.0
ClassE,KristenAndSara,all,42,16,41.84631650143566,40.9,68.6,29.1,31.2,73.7,17,4,1,12,1004,6193,4,16,20.1,0.249,0,4,0,2810,2814,9007,3818,2621.0,1197.0,6386.0
ClassE,KristenAndSara,0,42,32,25.08762766984804,37.3,69.2,25.5,28.2,76.6,15,3,1,11,673,5604,4,9,19.5,0.222,0,4,0,2199,2203,7807,2876,1990.0,886.0,5817.0
ClassE,KristenAndSara,63,42,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,267,600,0,0,-44.5,nan,0,0,0,0,0,600,267,0.0,267.0,600.0
ClassE,KristenAndSara,67,42,32,99.78240985515224,99.6,100.0,99.2,99.2,100.0,1,1,0,0,0,5,0,1,99.2,0.348,0,0,0,595,595,600,595,595.0,0.0,5.0
ClassE,KristenAndSara,all,42,32,41.62334202850842,40.6,69.2,28.7,31.1,74.9,17,4,1,12,940,6209,4,10,20.6,0.249,0,4,0,2794,2798,9007,3738,2585.0,1153.0,6422.0
