class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,32,34,8,8.9,42.3,5.0,11.1,95.2,4,0,1,3,5,789,6,7,9.9,0.202,0,6,0,93,99,888,104,44.0,60.0,844.0
ClassB,BasketballDrive,56,34,8,29.6,28.0,31.3,59.4,53.5,6,0,6,0,357,280,21,24,4.6,0.186,0,21,0,389,410,690,767,216.0,555.0,474.0
ClassB,BasketballDrive,all,34,8,36.4,42.3,32.0,65.7,87.1,17,5,9,3,424,1492,77,99,54.1,0.184,5,71,0,2776,2853,4345,3277,1389.0,1895.0,2956.0
ClassB,BasketballDrive,0,34,16,43.5,46.8,40.5,84.4,97.4,7,5,2,0,62,432,53,69,80.2,0.183,6,46,0,2282,2335,2767,2397,1122.0,1278.0,1645.0
ClassB,BasketballDrive,32,34,16,7.5,38.1,4.2,10.6,96.9,4,0,1,3,3,794,6,6,9.6,0.203,0,6,0,88,94,888,97,37.0,60.0,851.0
ClassB,BasketballDrive,56,34,16,28.3,27.2,29.4,57.1,53.0,6,0,6,0,349,296,22,23,3.3,0.180,0,22,0,372,394,690,743,203.0,544.0,487.0
ClassB,BasketballDrive,all,34,16,36.0,42.1,31.4,65.0,87.3,17,5,9,3,411,1519,81,99,53.7,0.184,6,74,0,2745,2826,4345,3237,1365.0,1879.0,2980.0
ClassB,BasketballDrive,0,38,8,42.2,45.6,39.2,83.4,97.1,7,5,2,0,68,459,55,66,79.0,0.184,8,46,0,2253,2308,2767,2376,1086.0,1293.0,1681.0
ClassB,BasketballDrive,32,38,8,10.7,59.1,5.9,9.8,98.9,4,0,1,3,1,801,4,6,9.2,0.206,0,4,0,83,87,888,88,52.0,36.0,836.0
ClassB,BasketballDrive,56,38,8,30.8,30.5,30.9,54.1,53.7,6,0,6,0,322,317,20,24,4.5,0.179,0,20,0,353,373,690,695,213.0,486.0,477.0
ClassB,BasketballDrive,all,38,8,36.9,43.7,31.9,63.8,87.7,17,5,9,3,390,1572,78,95,53.0,0.184,8,69,0,2695,2773,4345,3163,1384.0,1786.0,2961.0
ClassB,BasketballDrive,0,38,16,42.1,45.6,39.1,83.9,97.9,7,5,2,0,49,446,55,67,80.1,0.182,8,45,0,2266,2321,2767,2370,1082.0,1291.0,1685.0
ClassB,BasketballDrive,32,38,16,10.2,66.2,5.5,8.2,98.6,4,0,0,4,1,815,3,5,7.8,0.199,0,3,0,70,73,888,74,49.0,25.0,839.0
ClassB,BasketballDrive,56,38,16,32.0,31.9,31.9,55.7,56.0,6,0,6,0,302,306,23,26,8.6,0.179,0,23,0,361,384,690,686,220.0,470.0,470.0
ClassB,BasketballDrive,all,38,16,36.2,43.1,31.1,64.0,88.8,17,5,8,4,351,1566,81,98,54.0,0.182,8,71,0,2698,2779,4345,3130,1352.0,1785.0,2993.0
ClassB,BasketballDrive,0,42,8,41.8,45.8,38.4,82.0,98.0,7,5,2,0,46,498,47,58,78.6,0.183,4,42,0,2222,2269,2767,2315,1062.0,1256.0,1705.0
ClassB,BasketballDrive,32,42,8,7.6,61.0,4.1,6.5,98.3,4,0,0,4,1,830,4,4,6.0,0.203,0,4,0,54,58,888,59,36.0,23.0,852.0
ClassB,BasketballDrive,56,42,8,34.0,37.7,30.7,48.8,60.4,6,0,6,0,221,353,18,26,14.2,0.175,0,18,0,319,337,690,558,212.0,350.0,478.0
ClassB,BasketballDrive,all,42,8,36.0,44.6,30.2,61.4,90.9,17,5,8,4,266,1677,71,89,53.6,0.182,5,65,0,2597,2668,4345,2934,1312.0,1629.0,3033.0
ClassB,BasketballDrive,0,42,16,43.4,47.3,40.0,82.9,98.2,7,5,2,0,42,473,47,62,79.7,0.185,6,41,0,2247,2294,2767,2336,1107.0,1232.0,1660.0
ClassB,BasketballDrive,32,42,16,7.7,67.9,4.1,6.0,100.0,4,0,0,4,0,835,5,5,5.4,0.202,0,5,0,48,53,888,53,36.0,17.0,852.0
ClassB,BasketballDrive,56,42,16,32.3,34.8,30.0,48.4,56.6,6,0,5,1,256,356,20,23,8.4,0.181,0,20,0,314,334,690,590,207.0,387.0,483.0
ClassB,BasketballDrive,all,42,16,36.9,45.2,31.1,61.7,90.0,17,5,7,5,298,1664,72,90,53.2,0.185,6,66,0,2609,2681,4345,2979,1350.0,1636.0,2995.0
ClassB,BasketballDrive,0,46,8,43.3,48.9,38.7,77.9,98.5,7,3,4,0,33,612,44,57,75.1,0.186,4,40,0,2111,2155,2767,2188,1072.0,1119.0,1695.0
ClassB,BasketballDrive,32,46,8,6.9,78.0,3.6,4.6,100.0,4,0,0,4,0,847,2,3,4.4,0.201,0,2,0,39,41,888,41,32.0,9.0,856.0
ClassB,BasketballDrive,56,46,8,32.7,61.0,22.2,27.4,76.5,6,0,4,2,58,501,9,11,17.7,0.164,0,9,0,180,189,690,247,153.0,98.0,537.0
ClassB,BasketballDrive,all,46,8,36.9,50.6,28.9,54.9,96.3,17,3,8,6,91,1960,55,71,51.5,0.184,4,51,0,2330,2385,4345,2476,1257.0,1226.0,3088.0
ClassB,BasketballDrive,0,46,16,43.1,48.2,38.9,79.1,98.2,7,5,2,0,41,579,47,62,75.9,0.187,3,44,0,2141,2188,2767,2229,1076.0,1156.0,1691.0
ClassB,BasketballDrive,32,46,16,7.3,87.2,3.8,4.4,100.0,4,0,0,4,0,849,2,2,4.2,0.203,0,2,0,37,39,888,39,34.0,5.0,854.0
ClassB,BasketballDrive,56,46,16,32.6,52.4,23.5,28.7,64.9,6,0,5,1,107,492,9,12,11.9,0.182,0,9,0,189,198,690,305,162.0,147.0,528.0
ClassB,BasketballDrive,all,46,16,36.8,49.4,29.3,55.7,94.2,17,5,7,5,148,1924,59,77,51.0,0.188,3,56,0,2362,2421,4345,2569,1272.0,1304.0,3073.0
ClassB,Cactus,58,18,8,28.6,32.0,25.8,64.6,80.1,1,0,1,0,80,177,6,8,47.4,0.120,0,6,0,317,323,500,403,129.0,274.0,371.0
ClassB,Cactus,all,18,8,28.6,32.0,25.8,64.6,80.1,1,0,1,0,80,177,6,8,47.4,0.120,0,6,0,317,323,500,403,129.0,274.0,371.0
ClassB,Cactus,58,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0,293,300,500,371,119.0,252.0,381.0
ClassB,Cactus,all,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0,293,300,500,371,119.0,252.0,381.0
ClassB,Cactus,58,22,8,28.8,34.3,24.8,59.2,81.8,1,0,1,0,66,204,8,11,44.4,0.123,0,8,0,288,296,500,362,124.0,238.0,376.0
ClassB,Cactus,all,22,8,28.8,34.3,24.8,59.2,81.8,1,0,1,0,66,204,8,11,44.4,0.123,0,8,0,288,296,500,362,124.0,238.0,376.0
ClassB,Cactus,58,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0,269,275,500,341,105.0,236.0,395.0
ClassB,Cactus,all,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0,269,275,500,341,105.0,236.0,395.0
ClassB,Cactus,58,26,8,29.8,35.3,25.8,61.8,84.7,1,0,1,0,56,191,8,10,49.0,0.125,0,8,0,301,309,500,365,129.0,236.0,371.0
ClassB,Cactus,all,26,8,29.8,35.3,25.8,61.8,84.7,1,0,1,0,56,191,8,10,49.0,0.125,0,8,0,301,309,500,365,129.0,236.0,371.0
ClassB,Cactus,58,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0,309,316,500,374,131.0,243.0,369.0
ClassB,Cactus,all,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0,309,316,500,374,131.0,243.0,369.0
ClassB,Cactus,58,30,8,29.1,35.1,24.8,61.6,87.3,1,0,1,0,45,192,7,13,51.2,0.122,0,7,0,301,308,500,353,124.0,229.0,376.0
ClassB,Cactus,all,30,8,29.1,35.1,24.8,61.6,87.3,1,0,1,0,45,192,7,13,51.2,0.122,0,7,0,301,308,500,353,124.0,229.0,376.0
ClassB,Cactus,58,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0,294,303,500,336,62.0,274.0,438.0
ClassB,Cactus,all,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0,294,303,500,336,62.0,274.0,438.0
ClassB,Cactus,58,34,8,29.5,34.3,25.8,64.0,85.1,1,0,1,0,56,180,9,15,51.0,0.128,0,9,0,311,320,500,376,129.0,247.0,371.0
ClassB,Cactus,all,34,8,29.5,34.3,25.8,64.0,85.1,1,0,1,0,56,180,9,15,51.0,0.128,0,9,0,311,320,500,376,129.0,247.0,371.0
ClassB,Cactus,58,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0,313,321,500,359,110.0,249.0,390.0
ClassB,Cactus,all,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0,313,321,500,359,110.0,249.0,390.0
ClassB,Cactus,58,38,8,27.2,31.5,24.0,68.8,90.3,1,0,1,0,37,156,8,11,59.8,0.123,0,8,0,336,344,500,381,120.0,261.0,380.0
ClassB,Cactus,all,38,8,27.2,31.5,24.0,68.8,90.3,1,0,1,0,37,156,8,11,59.8,0.123,0,8,0,336,344,500,381,120.0,261.0,380.0
ClassB,Cactus,58,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0,319,327,500,346,114.0,232.0,386.0
ClassB,Cactus,all,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0,319,327,500,346,114.0,232.0,386.0
ClassB,Cactus,58,42,8,28.6,35.7,23.8,55.6,83.5,1,0,1,0,55,222,8,14,43.0,0.130,0,8,0,270,278,500,333,119.0,214.0,381.0
ClassB,Cactus,all,42,8,28.6,35.7,23.8,55.6,83.5,1,0,1,0,55,222,8,14,43.0,0.130,0,8,0,270,278,500,333,119.0,214.0,381.0
ClassB,Cactus,58,42,16,22.5,30.7,17.8,49.8,85.9,1,0,1,0,41,251,10,19,39.6,0.139,0,10,0,239,249,500,290,89.0,201.0,411.0
ClassB,Cactus,all,42,16,22.5,30.7,17.8,49.8,85.9,1,0,1,0,41,251,10,19,39.6,0.139,0,10,0,239,249,500,290,89.0,201.0,411.0
ClassB,Cactus,58,46,8,11.5,20.4,8.0,26.8,68.4,1,0,1,0,62,366,6,10,13.2,0.155,0,6,0,128,134,500,196,40.0,156.0,460.0
ClassB,Cactus,all,46,8,11.5,20.4,8.0,26.8,68.4,1,0,1,0,62,366,6,10,13.2,0.155,0,6,0,128,134,500,196,40.0,156.0,460.0
ClassB,Cactus,58,46,16,18.4,26.9,14.0,29.2,56.2,1,0,1,0,114,354,6,12,5.2,0.164,0,6,0,140,146,500,260,70.0,190.0,430.0
ClassB,Cactus,all,46,16,18.4,26.9,14.0,29.2,56.2,1,0,1,0,114,354,6,12,5.2,0.164,0,6,0,140,146,500,260,70.0,190.0,430.0
ClassB,Kimono,0,18,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.140,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,18,8,1.6,50.0,0.8,1.6,100.0,1,0,0,1,0,120,1,1,0.8,0.221,0,1,0,1,2,122,2,1.0,1.0,121.0
ClassB,Kimono,all,18,8,47.1,59.5,39.0,65.5,100.0,2,1,0,1,0,125,2,2,64.9,0.140,0,2,0,235,237,362,237,141.0,96.0,221.0
