class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassC,BasketballDrill,56,22,64,0.009523809523809523,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,22,64,40.856588415747595,19.2,30.8,14.0,41.9,92.8,11,3,4,4,163,2919,62,87,37.4,0.201,1,61,0,2044,2106,5025,2269,701.0,1574.0,4324.0
ClassC,BasketballDrill,0,26,8,86.27111175632741,31.2,36.0,27.5,75.3,98.4,6,3,3,0,30,625,42,65,72.4,0.207,1,41,0,1860,1902,2527,1932,696.0,1239.0,1831.0
ClassC,BasketballDrill,32,26,8,34.15344424561995,2.6,6.7,1.6,16.7,70.2,2,0,1,1,71,831,20,23,7.6,0.152,0,20,0,147,167,998,238,16.0,222.0,982.0
ClassC,BasketballDrill,56,26,8,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,26,8,40.14151866731579,19.9,32.8,14.2,41.2,95.3,11,3,4,4,102,2954,63,89,37.9,0.202,1,62,0,2008,2071,5025,2173,715.0,1464.0,4310.0
ClassC,BasketballDrill,0,26,16,86.2794587879024,31.8,37.0,27.8,73.8,98.4,6,3,3,0,30,663,43,66,70.9,0.207,0,43,0,1821,1864,2527,1894,702.0,1195.0,1825.0
ClassC,BasketballDrill,32,26,16,32.43951057887704,2.9,7.5,1.8,15.7,65.1,2,0,1,1,84,841,21,21,5.2,0.144,0,21,0,136,157,998,241,18.0,223.0,980.0
ClassC,BasketballDrill,56,26,16,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,26,16,39.57298978892648,20.2,33.8,14.4,40.2,94.7,11,3,4,4,114,3004,63,86,36.7,0.202,0,63,0,1958,2021,5025,2135,723.0,1418.0,4302.0
ClassC,BasketballDrill,0,26,32,85.57794723089525,31.6,36.8,27.7,73.8,98.2,6,3,3,0,35,663,44,70,70.6,0.208,2,42,0,1820,1864,2527,1899,699.0,1203.0,1828.0
