seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_0,0.2,0.2,640,37.6,41.9,34.0,79.1,97.6,7,4,3,0,53,579,60,80,75.0,0.186,9,52,1
ClassB_BasketballDrive_0,0.2,0.25,640,37.0,39.9,34.4,83.8,97.2,7,4,3,0,66,449,57,80,79.3,0.188,10,46,0
ClassB_BasketballDrive_0,0.2,0.3,640,41.7,44.1,39.6,86.9,96.9,7,6,1,0,77,362,56,70,82.1,0.188,9,46,0
ClassB_BasketballDrive_0,0.2,0.35,640,41.4,43.4,39.6,87.9,96.5,7,6,1,0,87,336,57,69,82.7,0.189,8,46,0
ClassB_BasketballDrive_0,0.2,0.4,640,42.7,44.4,41.1,89.1,96.4,7,6,1,0,93,302,54,63,83.8,0.191,7,44,0
ClassB_BasketballDrive_0,0.2,0.45,640,42.4,44.0,41.0,89.4,96.1,7,6,1,0,101,292,56,65,83.8,0.191,7,46,0
ClassB_BasketballDrive_0,0.2,0.5,640,38.7,40.0,37.4,89.7,96.0,7,6,1,0,103,285,58,66,83.9,0.190,8,47,0
ClassB_BasketballDrive_0,0.2,0.55,640,37.4,38.6,36.2,89.7,95.9,7,6,1,0,107,284,62,69,83.6,0.191,10,50,1
ClassB_BasketballDrive_0,0.2,0.6,640,34.4,35.6,33.2,89.4,95.8,7,7,0,0,109,292,64,72,83.2,0.190,9,53,1
ClassB_BasketballDrive_0,0.2,0.65,640,37.4,38.7,36.2,89.4,95.7,7,7,0,0,111,292,66,75,83.1,0.189,8,55,0
ClassB_BasketballDrive_0,0.2,0.7,640,37.4,38.8,36.1,89.1,95.7,7,7,0,0,110,302,71,75,82.5,0.189,9,57,0
ClassB_BasketballDrive_0,0.2,0.75,640,34.4,35.7,33.2,88.7,95.6,7,6,1,0,114,314,85,86,81.5,0.188,11,68,0
ClassB_BasketballDrive_0,0.2,0.8,640,37.5,39.0,36.1,88.0,95.1,7,6,1,0,125,333,97,96,79.9,0.186,12,82,1
ClassB_BasketballDrive_0,0.2,0.85,640,32.5,33.7,31.3,87.6,94.2,7,6,1,0,149,343,108,101,78.3,0.189,11,95,0
ClassB_BasketballDrive_0,0.2,0.9,640,19.9,20.5,19.4,86.2,91.1,7,5,2,0,233,383,164,129,71.8,0.189,10,148,0
ClassB_BasketballDrive_0,0.25,0.1,640,25.2,32.3,20.6,62.8,98.5,7,0,7,0,26,1028,77,101,59.1,0.178,12,66,1
ClassB_BasketballDrive_0,0.25,0.15,640,29.8,35.4,25.7,71.1,98.2,7,0,7,0,37,801,68,96,67.3,0.182,12,57,1
ClassB_BasketballDrive_0,0.25,0.2,640,37.8,42.5,34.0,78.3,98.1,7,4,3,0,43,600,60,80,74.6,0.185,9,52,1
ClassB_BasketballDrive_0,0.25,0.25,640,37.1,40.3,34.3,83.0,97.6,7,4,3,0,56,470,57,80,78.9,0.186,10,46,0
ClassB_BasketballDrive_0,0.25,0.3,640,37.3,39.6,35.2,86.2,97.3,7,5,2,0,65,381,56,72,81.9,0.187,10,45,0
ClassB_BasketballDrive_0,0.25,0.35,640,37.1,39.2,35.3,87.2,97.0,7,5,2,0,75,353,55,70,82.5,0.187,9,45,0
ClassB_BasketballDrive_0,0.25,0.4,640,37.1,38.9,35.4,88.1,96.9,7,6,1,0,77,329,53,69,83.4,0.190,9,43,0
ClassB_BasketballDrive_0,0.25,0.45,640,37.7,39.5,36.1,88.5,97.0,7,6,1,0,76,317,54,69,83.8,0.190,8,45,0
ClassB_BasketballDrive_0,0.25,0.5,640,42.8,44.7,41.1,88.9,96.9,7,6,1,0,78,307,53,67,84.2,0.189,6,46,0
ClassB_BasketballDrive_0,0.25,0.55,640,41.5,43.3,39.9,89.0,96.9,7,6,1,0,80,304,56,69,84.1,0.190,8,48,1
ClassB_BasketballDrive_0,0.25,0.6,640,41.5,43.3,39.9,89.0,96.8,7,6,1,0,82,305,58,69,83.9,0.189,9,49,1
ClassB_BasketballDrive_0,0.25,0.65,640,38.5,40.3,36.9,88.5,96.6,7,6,1,0,86,317,62,73,83.2,0.189,8,54,1
ClassB_BasketballDrive_0,0.25,0.7,640,41.4,43.3,39.7,88.5,96.6,7,6,1,0,86,317,64,71,83.1,0.189,9,54,1
ClassB_BasketballDrive_0,0.25,0.75,640,39.9,41.8,38.1,88.0,96.7,7,6,1,0,84,332,72,77,82.4,0.188,9,61,1
ClassB_BasketballDrive_0,0.25,0.8,640,39.2,41.2,37.3,87.2,96.6,7,6,1,0,85,353,82,88,81.2,0.186,10,72,1
ClassB_BasketballDrive_0,0.25,0.85,640,33.0,34.7,31.4,86.6,95.8,7,5,2,0,105,370,94,98,79.4,0.188,9,86,1
ClassB_BasketballDrive_0,0.25,0.9,640,27.3,28.7,25.9,84.4,93.6,7,5,2,0,161,431,150,131,73.2,0.187,14,127,0
ClassB_BasketballDrive_0,0.3,0.1,640,25.2,32.5,20.5,62.2,98.6,7,0,7,0,25,1045,77,101,58.5,0.177,12,66,1
ClassB_BasketballDrive_0,0.3,0.15,640,29.7,35.5,25.5,70.6,98.3,7,0,7,0,33,814,66,96,67.0,0.182,12,55,1
ClassB_BasketballDrive_0,0.3,0.2,640,37.9,42.9,33.9,77.5,98.2,7,4,3,0,39,622,57,79,74.1,0.184,9,49,1
ClassB_BasketballDrive_0,0.3,0.25,640,37.1,40.5,34.1,82.3,97.9,7,4,3,0,50,491,55,80,78.5,0.186,10,44,0
ClassB_BasketballDrive_0,0.3,0.3,640,37.2,39.8,34.9,85.5,97.6,7,5,2,0,58,400,54,72,81.5,0.187,10,43,0
ClassB_BasketballDrive_0,0.3,0.35,640,37.1,39.4,35.1,86.5,97.4,7,5,2,0,65,374,53,69,82.2,0.187,9,43,0
ClassB_BasketballDrive_0,0.3,0.4,640,37.1,39.1,35.2,87.4,97.3,7,5,2,0,68,350,51,69,83.1,0.189,9,41,0
ClassB_BasketballDrive_0,0.3,0.45,640,39.2,41.2,37.3,87.9,97.3,7,6,1,0,67,336,50,68,83.6,0.190,8,41,0
