conf,iou,img-size,mAP
0.55,0.35,640,0.271640611
0.55,0.4,640,0.272465992
0.55,0.45,640,0.273063073
0.55,0.5,640,0.273413548
0.55,0.55,640,0.273532765
0.55,0.6,640,0.273532765
0.55,0.65,640,0.273532765
0.55,0.7,640,0.273532765
0.55,0.75,640,0.273532765
0.55,0.8,640,0.273532765
0.55,0.85,640,0.273648343
0.55,0.9,640,0.273211399
0.6,0.1,640,0.214952776
0.6,0.15,640,0.231135761
0.6,0.2,640,0.242141877
0.6,0.25,640,0.250977983
0.6,0.3,640,0.254765333
0.6,0.35,640,0.256743734
0.6,0.4,640,0.257574027
0.6,0.45,640,0.258052405
0.6,0.5,640,0.258171136
0.6,0.55,640,0.258290222
0.6,0.6,640,0.258290222
0.6,0.65,640,0.258290222
0.6,0.7,640,0.258290222
0.6,0.75,640,0.258290222
0.6,0.8,640,0.258290222
0.6,0.85,640,0.258290222
0.6,0.9,640,0.257999522
0.65,0.1,640,0.205279617
0.65,0.15,640,0.219321612
0.65,0.2,640,0.229152749
0.65,0.25,640,0.235863221
0.65,0.3,640,0.238714357
0.65,0.35,640,0.240587311
0.65,0.4,640,0.241424455
0.65,0.45,640,0.241783542
0.65,0.5,640,0.241783542
0.65,0.55,640,0.241902512
0.65,0.6,640,0.241902512
0.65,0.65,640,0.241902512
0.65,0.7,640,0.241902512
0.65,0.75,640,0.241902512
0.65,0.8,640,0.241902512
0.65,0.85,640,0.241902512
0.65,0.9,640,0.241716682
0.7,0.1,640,0.194874422
0.7,0.15,640,0.206291695
0.7,0.2,640,0.214345231
0.7,0.25,640,0.219876765
0.7,0.3,640,0.222026741
0.7,0.35,640,0.223438656
0.7,0.4,640,0.224159401
0.7,0.45,640,0.224399202
0.7,0.5,640,0.224399202
0.7,0.55,640,0.224399202
0.7,0.6,640,0.224399202
0.7,0.65,640,0.224399202
0.7,0.7,640,0.224399202
0.7,0.75,640,0.224399202
0.7,0.8,640,0.224399202
0.7,0.85,640,0.224399202
0.7,0.9,640,0.22428458
0.75,0.1,640,0.183612425
0.75,0.15,640,0.192393638
0.75,0.2,640,0.198289603
0.75,0.25,640,0.202740571
0.75,0.3,640,0.204302882
0.75,0.35,640,0.205013838
0.75,0.4,640,0.205494743
0.75,0.45,640,0.205614751
0.75,0.5,640,0.205614751
0.75,0.55,640,0.205614751
0.75,0.6,640,0.205614751
0.75,0.65,640,0.205614751
0.75,0.7,640,0.205614751
0.75,0.75,640,0.205614751
0.75,0.8,640,0.205614751
0.75,0.85,640,0.205614751
0.75,0.9,640,0.20553881
0.8,0.1,640,0.167290416
0.8,0.15,640,0.173188235
0.8,0.2,640,0.177881738
0.8,0.25,640,0.181130667
0.8,0.3,640,0.182333934
0.8,0.35,640,0.182574582
0.8,0.4,640,0.182815319
0.8,0.45,640,0.182815319
0.8,0.5,640,0.182815319
0.8,0.55,640,0.182815319
0.8,0.6,640,0.182815319
0.8,0.65,640,0.182815319
0.8,0.7,640,0.182815319
0.8,0.75,640,0.182815319
0.8,0.8,640,0.182815319
0.8,0.85,640,0.182815319
0.8,0.9,640,0.182773766
