class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,BasketballDrive,56,22,64,51.94597027769593,28.6,27.1,30.0,58.4,53.0,6,0,6,0,357,287,26,27,2.9,0.182,0,26,0,377,403,690,760,207.0,557.0,483.0
ClassB,BasketballDrive,all,22,64,57.23868785349029,35.4,40.7,31.2,66.8,87.4,17,5,9,3,420,1444,86,105,55.1,0.188,9,77,1,2815,2901,4345,3321,1355.0,1973.0,2990.0
ClassB,BasketballDrive,0,26,8,93.2855616857449,41.8,44.7,39.2,85.1,97.2,7,5,2,0,68,413,52,69,80.7,0.188,6,45,0,2302,2354,2767,2422,1084.0,1341.0,1683.0
ClassB,BasketballDrive,32,26,8,26.31538298995968,10.5,42.7,6.0,13.6,97.6,4,0,1,3,3,767,6,8,12.6,0.216,0,6,0,115,121,888,124,53.0,71.0,835.0
ClassB,BasketballDrive,56,26,8,51.99367218605319,29.4,27.3,31.6,58.8,51.1,6,0,6,0,388,284,24,26,-0.9,0.179,0,24,0,382,406,690,794,218.0,580.0,472.0
ClassB,BasketballDrive,all,26,8,57.19820562058592,35.3,40.5,31.3,66.4,86.2,17,5,9,3,460,1461,82,104,53.9,0.188,7,75,1,2802,2884,4345,3344,1358.0,1993.0,2987.0
ClassB,BasketballDrive,0,26,16,92.98861276986516,41.8,44.7,39.2,85.4,97.5,7,5,2,0,60,405,50,66,81.4,0.187,6,43,0,2312,2362,2767,2422,1084.0,1341.0,1683.0
ClassB,BasketballDrive,32,26,16,26.453099592052915,8.4,36.2,4.7,12.7,97.4,4,0,1,3,3,775,8,8,11.5,0.211,0,8,0,105,113,888,116,42.0,74.0,846.0
ClassB,BasketballDrive,56,26,16,51.86909059431128,27.3,25.6,29.0,57.7,51.3,6,0,6,0,378,292,24,27,-0.6,0.181,0,24,0,374,398,690,776,200.0,580.0,490.0
ClassB,BasketballDrive,all,26,16,57.10360098540978,34.7,40.0,30.6,66.2,86.8,17,5,9,3,439,1469,82,101,54.2,0.187,7,75,1,2794,2876,4345,3315,1328.0,1994.0,3017.0
ClassB,BasketballDrive,0,26,32,93.0796637791444,41.6,44.5,39.1,85.3,97.2,7,5,2,0,68,408,54,69,80.8,0.187,7,45,0,2305,2359,2767,2427,1081.0,1349.0,1686.0
ClassB,BasketballDrive,32,26,32,26.660531381935943,10.0,38.1,5.7,14.8,97.8,4,0,1,3,3,757,7,9,13.6,0.22,0,7,0,124,131,888,134,51.0,83.0,837.0
ClassB,BasketballDrive,56,26,32,52.67649253451584,29.6,27.6,31.9,58.8,51.1,6,0,6,0,388,284,22,25,-0.6,0.185,0,22,0,384,406,690,794,220.0,578.0,470.0
ClassB,BasketballDrive,all,26,32,57.4722292318654,35.2,40.3,31.2,66.7,86.4,17,5,9,3,456,1445,83,105,54.3,0.188,8,74,1,2817,2900,4345,3356,1356.0,2007.0,2989.0
ClassB,BasketballDrive,0,26,64,93.18651100875113,41.7,44.6,39.1,85.1,97.2,7,5,2,0,68,413,51,69,80.8,0.187,6,44,0,2303,2354,2767,2422,1081.0,1344.0,1686.0
ClassB,BasketballDrive,32,26,64,26.572488083262414,9.9,39.4,5.6,14.0,97.6,4,0,1,3,3,764,8,10,12.7,0.225,0,8,0,116,124,888,127,50.0,77.0,838.0
ClassB,BasketballDrive,56,26,64,51.94911797160473,27.9,26.2,29.7,58.1,51.5,6,0,6,0,378,289,25,26,-0.3,0.182,0,25,0,376,401,690,779,205.0,578.0,485.0
ClassB,BasketballDrive,all,26,64,57.23603902120609,34.9,40.1,30.8,66.3,86.6,17,5,9,3,447,1464,84,105,54.1,0.188,7,77,1,2797,2881,4345,3328,1338.0,1997.0,3007.0
ClassB,BasketballDrive,0,30,8,92.682770840849,43.4,46.7,40.4,84.4,97.5,7,5,2,0,60,433,51,65,80.3,0.184,7,42,0,2283,2334,2767,2394,1119.0,1278.0,1648.0
ClassB,BasketballDrive,32,30,8,24.42135025586792,9.9,42.4,5.6,12.8,96.6,4,0,1,3,4,774,7,10,11.6,0.217,0,7,0,107,114,888,118,50.0,68.0,838.0
ClassB,BasketballDrive,56,30,8,52.89602982633228,29.6,27.6,31.6,59.9,52.6,6,0,6,0,372,277,24,26,2.5,0.183,0,24,0,389,413,690,785,218.0,571.0,472.0
ClassB,BasketballDrive,all,30,8,56.66672314257944,36.4,42.1,32.0,65.9,86.8,17,5,9,3,434,1480,82,103,54.1,0.185,8,73,1,2783,2865,4345,3299,1391.0,1915.0,2954.0
ClassB,BasketballDrive,0,30,16,92.46284094418404,43.1,46.2,40.3,84.7,97.3,7,5,2,0,66,422,50,66,80.6,0.185,6,42,0,2295,2345,2767,2411,1116.0,1298.0,1651.0
ClassB,BasketballDrive,32,30,16,25.04473351104747,8.9,37.5,5.1,13.3,98.3,4,0,1,3,2,770,8,8,12.2,0.212,0,8,0,110,118,888,120,45.0,75.0,843.0
ClassB,BasketballDrive,56,30,16,53.036115114656255,30.3,29.0,31.6,58.1,53.7,6,0,6,0,346,289,22,24,4.8,0.182,0,22,0,379,401,690,747,218.0,533.0,472.0
ClassB,BasketballDrive,all,30,16,56.84789652329592,36.2,42.0,31.8,66.0,87.4,17,5,9,3,414,1478,80,99,54.6,0.186,6,72,0,2787,2867,4345,3281,1382.0,1906.0,2963.0
ClassB,BasketballDrive,0,30,32,92.83401358902388,43.3,46.4,40.5,84.8,97.3,7,5,2,0,66,420,50,67,80.6,0.185,7,42,0,2297,2347,2767,2413,1121.0,1295.0,1646.0
ClassB,BasketballDrive,32,30,32,24.275486727472437,9.6,44.4,5.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.201,0,6,0,99,105,888,108,48.0,60.0,840.0
ClassB,BasketballDrive,56,30,32,54.53002069631614,27.5,25.7,29.4,58.8,51.7,6,0,6,0,379,284,27,29,0.0,0.184,0,27,0,379,406,690,785,203.0,586.0,487.0
ClassB,BasketballDrive,all,30,32,57.213173670937486,35.9,41.5,31.6,65.8,86.5,17,5,9,3,446,1484,83,104,53.7,0.186,8,75,1,2778,2861,4345,3307,1375.0,1939.0,2970.0
ClassB,BasketballDrive,0,30,64,92.9559988593375,42.0,45.0,39.3,84.6,97.1,7,5,2,0,71,426,51,67,80.2,0.187,8,43,0,2290,2341,2767,2412,1087.0,1328.0,1680.0
ClassB,BasketballDrive,32,30,64,24.285543871900597,7.8,36.1,4.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.209,0,6,0,99,105,888,108,39.0,69.0,849.0
ClassB,BasketballDrive,56,30,64,52.72409973245193,29.4,27.6,31.3,57.8,51.2,6,0,6,0,380,291,24,27,-0.7,0.18,0,24,0,375,399,690,779,216.0,567.0,474.0
ClassB,BasketballDrive,all,30,64,56.65521415456335,35.2,40.6,31.0,65.6,86.2,17,5,9,3,455,1495,81,102,53.3,0.187,9,73,1,2769,2850,4345,3305,1345.0,1967.0,3000.0
ClassB,BasketballDrive,0,34,8,92.5493253319856,43.5,46.7,40.7,84.6,97.3,7,5,2,0,65,426,50,67,80.4,0.183,5,44,0,2291,2341,2767,2406,1126.0,1283.0,1641.0
ClassB,BasketballDrive,32,34,8,21.76568115439118,8.9,42.3,5.0,11.1,95.2,4,0,1,3,5,789,6,7,9.9,0.202,0,6,0,93,99,888,104,44.0,60.0,844.0
ClassB,BasketballDrive,56,34,8,53.20137502054792,29.6,28.0,31.3,59.4,53.5,6,0,6,0,357,280,21,24,4.6,0.186,0,21,0,389,410,690,767,216.0,555.0,474.0
ClassB,BasketballDrive,all,34,8,55.838793835641575,36.4,42.3,32.0,65.7,87.1,17,5,9,3,424,1492,77,99,54.1,0.184,5,71,0,2776,2853,4345,3277,1389.0,1895.0,2956.0
ClassB,BasketballDrive,0,34,16,92.51288627430364,43.5,46.8,40.5,84.4,97.4,7,5,2,0,62,432,53,69,80.2,0.183,6,46,0,2282,2335,2767,2397,1122.0,1278.0,1645.0
ClassB,BasketballDrive,32,34,16,21.297848984707127,7.5,38.1,4.2,10.6,96.9,4,0,1,3,3,794,6,6,9.6,0.203,0,6,0,88,94,888,97,37.0,60.0,851.0
ClassB,BasketballDrive,56,34,16,51.85836142911116,28.3,27.2,29.4,57.1,53.0,6,0,6,0,349,296,22,23,3.3,0.18,0,22,0,372,394,690,743,203.0,544.0,487.0
ClassB,BasketballDrive,all,34,16,55.223037917996656,36.0,42.1,31.4,65.0,87.3,17,5,9,3,411,1519,81,99,53.7,0.184,6,74,0,2745,2826,4345,3237,1365.0,1879.0,2980.0
ClassB,BasketballDrive,0,34,32,92.59403308525891,43.4,46.7,40.5,84.5,97.5,7,5,2,0,61,428,52,68,80.4,0.182,6,44,0,2287,2339,2767,2400,1121.0,1282.0,1646.0
ClassB,BasketballDrive,32,34,32,22.710700244272168,10.1,46.7,5.6,11.8,98.1,4,0,1,3,2,783,6,7,10.9,0.216,0,6,0,99,105,888,107,50.0,57.0,838.0
ClassB,BasketballDrive,56,34,32,53.27408847329894,30.5,29.5,31.4,56.5,53.4,6,0,6,0,341,300,22,25,3.9,0.183,0,22,0,368,390,690,731,217.0,518.0,473.0
ClassB,BasketballDrive,all,34,32,56.19294060094335,36.7,42.8,32.0,65.3,87.6,17,5,9,3,403,1509,80,100,54.2,0.183,6,72,0,2756,2836,4345,3239,1390.0,1856.0,2955.0
ClassB,BasketballDrive,0,34,64,92.65882217914071,43.5,46.9,40.5,84.3,97.6,7,5,2,0,58,434,48,66,80.5,0.183,4,44,0,2285,2333,2767,2391,1122.0,1272.0,1645.0
ClassB,BasketballDrive,32,34,64,22.674014594936,7.8,35.1,4.4,12.2,97.3,4,0,1,3,3,780,5,5,11.3,0.214,0,5,0,103,108,888,111,39.0,72.0,849.0
ClassB,BasketballDrive,56,34,64,51.1352853016382,29.8,28.9,30.6,55.4,52.7,6,0,6,0,343,308,21,25,2.6,0.181,0,21,0,361,382,690,725,211.0,518.0,479.0
ClassB,BasketballDrive,all,34,64,55.48937402523831,36.3,42.5,31.7,65.1,87.6,17,5,9,3,400,1518,74,98,54.2,0.184,5,69,0,2753,2827,4345,3227,1376.0,1858.0,2969.0
ClassB,BasketballDrive,0,38,8,91.87621066792772,42.2,45.6,39.2,83.4,97.1,7,5,2,0,68,459,55,66,79.0,0.184,8,46,0,2253,2308,2767,2376,1086.0,1293.0,1681.0
ClassB,BasketballDrive,32,38,8,18.4795214839459,10.7,59.1,5.9,9.8,98.9,4,0,1,3,1,801,4,6,9.2,0.206,0,4,0,83,87,888,88,52.0,36.0,836.0
ClassB,BasketballDrive,56,38,8,51.26353282282152,30.8,30.5,30.9,54.1,53.7,6,0,6,0,322,317,20,24,4.5,0.179,0,20,0,353,373,690,695,213.0,486.0,477.0
ClassB,BasketballDrive,all,38,8,53.873088324898376,36.9,43.7,31.9,63.8,87.7,17,5,9,3,390,1572,78,95,53.0,0.184,8,69,0,2695,2773,4345,3163,1384.0,1786.0,2961.0
ClassB,BasketballDrive,0,38,16,92.01118565464508,42.1,45.6,39.1,83.9,97.9,7,5,2,0,49,446,55,67,80.1,0.182,8,45,0,2266,2321,2767,2370,1082.0,1291.0,1685.0
ClassB,BasketballDrive,32,38,16,17.751751030562474,10.2,66.2,5.5,8.2,98.6,4,0,0,4,1,815,3,5,7.8,0.199,0,3,0,70,73,888,74,49.0,25.0,839.0
ClassB,BasketballDrive,56,38,16,54.046049856970605,32.0,31.9,31.9,55.7,56.0,6,0,6,0,302,306,23,26,8.6,0.179,0,23,0,361,384,690,686,220.0,470.0,470.0
ClassB,BasketballDrive,all,38,16,54.602995514059394,36.2,43.1,31.1,64.0,88.8,17,5,8,4,351,1566,81,98,54.0,0.182,8,71,0,2698,2779,4345,3130,1352.0,1785.0,2993.0
ClassB,BasketballDrive,0,38,32,92.0525796590466,42.9,46.4,39.9,83.8,97.7,7,5,2,0,54,447,50,67,80.1,0.184,6,44,0,2270,2320,2767,2374,1103.0,1274.0,1664.0
ClassB,BasketballDrive,32,38,32,17.946753891007337,7.7,48.7,4.2,8.4,98.7,4,0,0,4,1,813,5,7,7.8,0.2,0,5,0,70,75,888,76,37.0,39.0,851.0
ClassB,BasketballDrive,56,38,32,52.6020904316802,31.8,31.0,32.5,58.0,55.7,6,0,6,0,318,290,21,24,8.8,0.19,0,21,0,379,400,690,718,224.0,498.0,466.0
ClassB,BasketballDrive,all,38,32,54.200474660578045,36.4,43.0,31.5,64.4,88.2,17,5,8,4,373,1547,76,99,54.1,0.185,6,70,0,2722,2798,4345,3171,1367.0,1811.0,2978.0
ClassB,BasketballDrive,0,38,64,92.19914924877102,43.4,47.0,40.3,83.8,97.8,7,5,2,0,53,447,52,63,80.1,0.183,7,45,0,2268,2320,2767,2373,1116.0,1260.0,1651.0
ClassB,BasketballDrive,32,38,64,18.755482112072222,9.2,51.1,5.1,9.5,95.5,4,0,1,3,4,804,4,5,8.6,0.203,0,4,0,80,84,888,88,45.0,43.0,843.0
ClassB,BasketballDrive,56,38,64,52.02486153436527,32.3,32.2,32.2,57.5,57.9,6,0,6,0,289,293,19,21,12.9,0.18,0,19,0,378,397,690,686,222.0,468.0,468.0
ClassB,BasketballDrive,all,38,64,54.32649763173617,37.0,43.9,31.9,64.5,89.0,17,5,9,3,346,1542,75,89,54.8,0.184,7,68,0,2728,2803,4345,3149,1385.0,1771.0,2960.0
ClassB,BasketballDrive,0,42,8,90.59504795889607,41.8,45.8,38.4,82.0,98.0,7,5,2,0,46,498,47,58,78.6,0.183,4,42,0,2222,2269,2767,2315,1062.0,1256.0,1705.0
ClassB,BasketballDrive,32,42,8,13.67464340125383,7.6,61.0,4.1,6.5,98.3,4,0,0,4,1,830,4,4,6.0,0.203,0,4,0,54,58,888,59,36.0,23.0,852.0
