class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassD,BlowingBubbles,0,26,32,92.06122162930302,82.0,80.3,83.6,95.3,91.5,3,2,0,1,91,49,1,3,86.3,0.099,0,1,0,982,983,1032,1074,863.0,212.0,169.0
ClassD,BlowingBubbles,41,26,32,26.638379902857736,9.8,63.2,5.3,8.4,100.0,1,0,0,1,0,206,2,2,7.6,0.198,0,2,0,17,19,225,19,12.0,7.0,213.0
ClassD,BlowingBubbles,77,26,32,99.10798434401482,93.5,92.5,94.4,96.8,94.8,1,1,0,0,20,12,1,2,91.3,0.134,0,1,0,365,366,378,386,357.0,29.0,21.0
ClassD,BlowingBubbles,all,26,32,72.60252862539186,79.1,83.2,75.4,83.7,92.5,5,3,0,2,111,267,4,7,76.6,0.110,0,4,0,1364,1368,1635,1479,1232.0,248.0,403.0
ClassD,BlowingBubbles,0,26,64,92.47337817927732,82.8,81.1,84.6,96.2,92.3,3,2,0,1,83,39,1,1,88.1,0.100,0,1,0,992,993,1032,1076,873.0,204.0,159.0
ClassD,BlowingBubbles,41,26,64,21.566641646311655,17.1,100.0,9.3,9.3,100.0,1,0,0,1,0,204,0,1,9.3,0.229,0,0,0,21,21,225,21,21.0,0.0,204.0
ClassD,BlowingBubbles,77,26,64,97.67180309720811,93.5,94.1,92.9,94.7,96.0,1,1,0,0,15,20,1,2,90.5,0.136,0,1,0,357,358,378,373,351.0,22.0,27.0
ClassD,BlowingBubbles,all,26,64,70.57060764093237,80.2,84.6,76.1,83.9,93.3,5,3,0,2,98,263,2,4,77.8,0.111,0,2,0,1370,1372,1635,1470,1245.0,226.0,390.0
ClassD,BlowingBubbles,0,30,8,91.95461079234583,91.7,90.8,92.5,95.1,93.3,3,2,0,1,70,51,1,3,88.2,0.098,0,1,0,980,981,1032,1051,955.0,97.0,77.0
ClassD,BlowingBubbles,41,30,8,12.365277781676246,5.9,63.6,3.1,4.4,90.9,1,0,0,1,1,215,1,1,3.6,0.202,0,1,0,9,10,225,11,7.0,4.0,218.0
ClassD,BlowingBubbles,77,30,8,96.22518670632678,82.9,87.2,79.1,89.4,98.5,1,1,0,0,5,40,2,3,87.6,0.138,0,2,0,336,338,378,343,299.0,44.0,79.0
ClassD,BlowingBubbles,all,30,8,66.84835842678295,83.0,89.7,77.1,81.3,94.6,5,3,0,2,76,306,4,7,76.4,0.109,0,4,0,1325,1329,1635,1405,1261.0,145.0,374.0
ClassD,BlowingBubbles,0,30,16,93.63612029367148,95.7,95.3,96.0,95.9,95.3,3,2,0,1,49,42,0,2,91.2,0.099,0,0,0,990,990,1032,1039,991.0,49.0,41.0
ClassD,BlowingBubbles,41,30,16,8.456858737549275,3.5,66.7,1.8,2.7,100.0,1,0,0,1,0,219,1,1,2.2,0.195,0,1,0,5,6,225,6,4.0,2.0,221.0
ClassD,BlowingBubbles,77,30,16,93.50962354490238,82.2,87.2,77.8,87.8,98.5,1,1,0,0,5,46,3,4,85.7,0.128,0,3,0,329,332,378,337,294.0,43.0,84.0
ClassD,BlowingBubbles,all,30,16,65.20086752537438,85.4,93.2,78.8,81.2,96.1,5,3,0,2,54,307,4,7,77.7,0.107,0,4,0,1324,1328,1635,1382,1289.0,94.0,346.0
ClassD,BlowingBubbles,0,30,32,93.31967317365843,93.4,92.8,94.0,95.7,94.6,3,2,0,1,56,44,1,2,90.2,0.099,0,1,0,987,988,1032,1044,970.0,75.0,62.0
ClassD,BlowingBubbles,41,30,32,9.496979391074388,6.9,100.0,3.6,3.6,100.0,1,0,0,1,0,217,0,0,3.6,0.233,0,0,0,8,8,225,8,8.0,0.0,217.0
ClassD,BlowingBubbles,77,30,32,95.00969065064923,81.0,83.7,78.6,90.2,96.1,1,1,0,0,14,37,3,3,85.7,0.131,0,3,0,338,341,378,355,297.0,58.0,81.0
ClassD,BlowingBubbles,all,30,32,65.94211440512736,83.8,90.6,78.0,81.8,95.0,5,3,0,2,70,298,4,5,77.2,0.108,0,4,0,1333,1337,1635,1407,1275.0,133.0,360.0
ClassD,BlowingBubbles,0,30,64,93.53505012684936,93.3,92.6,93.8,95.4,94.3,3,2,0,1,59,47,1,2,89.6,0.099,0,1,0,984,985,1032,1044,968.0,77.0,64.0
ClassD,BlowingBubbles,41,30,64,5.451966695377551,2.6,50.0,1.3,1.3,50.0,1,0,0,1,3,222,0,0,0.0,0.222,0,0,0,3,3,225,6,3.0,3.0,222.0
ClassD,BlowingBubbles,77,30,64,94.09783148710892,83.3,89.4,78.0,87.3,100.0,1,1,0,0,0,48,3,4,86.5,0.132,0,3,0,327,330,378,330,295.0,35.0,83.0
ClassD,BlowingBubbles,all,30,64,64.36161610311194,84.0,91.7,77.4,80.6,95.5,5,3,0,2,62,317,4,6,76.6,0.108,0,4,0,1314,1318,1635,1380,1266.0,115.0,369.0
ClassD,BlowingBubbles,0,34,8,95.08205362223846,91.2,93.7,88.9,94.6,99.8,3,2,0,1,2,56,2,3,94.2,0.103,0,2,0,974,976,1032,978,917.0,62.0,115.0
ClassD,BlowingBubbles,41,34,8,1.8225667527993108,1.6,7.7,0.9,0.9,7.7,1,0,0,1,24,223,0,0,-9.8,0.234,0,0,0,2,2,225,26,2.0,24.0,223.0
ClassD,BlowingBubbles,77,34,8,73.71511767375156,49.7,67.1,39.4,58.7,100.0,1,0,1,0,0,156,5,6,57.4,0.142,0,5,0,217,222,378,222,149.0,73.0,229.0
ClassD,BlowingBubbles,all,34,8,56.87324601626311,74.7,87.0,65.3,73.4,97.9,5,2,1,2,26,435,7,9,71.4,0.110,0,7,0,1193,1200,1635,1226,1068.0,159.0,567.0
ClassD,BlowingBubbles,0,34,16,93.62349160703643,93.1,94.1,92.0,94.5,96.8,3,2,0,1,32,57,1,4,91.3,0.101,0,1,0,974,975,1032,1007,949.0,59.0,83.0
ClassD,BlowingBubbles,41,34,16,0.0625,0.0,0.0,0.0,0.0,0.0,1,0,0,1,17,225,0,0,-7.6,nan,0,0,0,0,0,225,17,0.0,17.0,225.0
ClassD,BlowingBubbles,77,34,16,67.1957671957672,52.4,72.4,41.0,56.6,100.0,1,0,1,0,0,164,2,2,56.1,0.155,0,2,0,212,214,378,214,155.0,59.0,223.0
ClassD,BlowingBubbles,all,34,16,53.62725293426788,76.9,89.1,67.5,72.7,96.0,5,2,1,2,49,446,3,6,69.5,0.111,0,3,0,1186,1189,1635,1238,1104.0,135.0,531.0
ClassD,BlowingBubbles,0,34,32,93.98627550465993,95.5,96.5,94.4,94.3,96.5,3,2,0,1,35,59,0,3,90.9,0.101,0,0,0,973,973,1032,1008,974.0,35.0,58.0
ClassD,BlowingBubbles,41,34,32,2.93936507936508,3.5,100.0,1.8,1.8,100.0,1,0,0,1,0,221,0,0,1.8,0.252,0,0,0,4,4,225,4,4.0,0.0,221.0
ClassD,BlowingBubbles,77,34,32,71.6931216931217,64.6,84.3,52.4,62.2,100.0,1,0,1,0,0,143,3,4,61.4,0.145,0,3,0,232,235,378,235,198.0,37.0,180.0
